Reasons for not attending School, 3-30, 3-4, 5-11, 12-15, 16-17, 18-30
Schools are very far,0.4,0.5,3.4,1,1,0.3
No school within the barangay,0.1,0.1,0.8,1.1,0.5,0.1
No regular transportation,0.2,-,1,0.9,0.7,0.1
High cost of education,2.2,0.1,1.4,1.5,4.3,2.6
Illness,0.9,0.3,4.2,3.7,3.4,0.7
Disability,1.3,-,8.2,9.8,4.6,1.1
Taking care of siblings,3.9,-,0.4,2,3.5,6.1
Marriage,13.4,-,-,1.5,9.4,16.9
Employment,36.6,-,0.8,9.2,20.4,46.1
Lack of personal interest,6.3,0.4,13,41.9,28.3,6
Failing Grades,0.4,-,0.7,4,2,0.3
Finished schooling,9.6,-,-,-,-,12.3
Problem with school record,0.2,-,1.2,1.6,1.3,0.1
Problem with birth certificate,0.2,0.3,2,0.2,0.2,0.1
T oo y oung to go to school,16.6,97.8,52.3,-,-,-
Poverty,5.8,0.2,8.1,14.4,15.4,6.4
Peer pressure,0.3,-,0.7,1,1.7,0.2
Bully ing,0.2,0.1,0.7,1.4,0.9,0.2
Addiction to computer games,0.2,-,-,2.3,1.5,0.2
Expelled ,0.1,-,-,0.9,0.1,0.1
Other reasons ,0.3,0.2,1.1,1.5,0.7,0.2